Date,Region,Type,Units,Sales
2020-09-30,East,Children's Clothing,15.0,156
2020-09-29,East,Men's Clothing,4.0,378
2020-09-28,East,Men's Clothing,16.0,480
2020-09-28,East,Women's Clothing,16.0,540
2020-09-27,East,Men's Clothing,28.0,1054
2020-09-26,East,Women's Clothing,23.0,264
2020-09-26,East,Children's Clothing,3.0,462
2020-09-25,East,Children's Clothing,14.0,209
2020-09-25,East,Children's Clothing,18.0,800
2020-09-25,East,Women's Clothing,24.0,224
2020-09-24,East,Children's Clothing,30.0,112
2020-09-24,East,Children's Clothing,25.0,310
2020-09-24,East,Women's Clothing,7.0,117
2020-09-24,East,Men's Clothing,15.0,54
2020-09-23,East,Women's Clothing,25.0,736
2020-09-22,East,Children's Clothing,27.0,216
2020-09-20,East,Children's Clothing,32.0,360
2020-09-20,East,Men's Clothing,8.0,680
2020-09-18,East,Men's Clothing,13.0,810
2020-09-18,East,Men's Clothing,21.0,175
2020-09-18,East,Women's Clothing,34.0,255
2020-09-17,East,Women's Clothing,17.0,161
2020-09-15,East,Children's Clothing,29.0,992
2020-09-15,East,Men's Clothing,26.0,728
2020-09-10,East,Women's Clothing,15.0,650
2020-09-09,East,Women's Clothing,23.0,209
2020-09-08,East,Women's Clothing,30.0,510
2020-09-08,East,Women's Clothing,3.0,676
2020-09-07,East,Men's Clothing,4.0,961
2020-09-06,East,Women's Clothing,11.0,363
2020-09-05,East,Children's Clothing,34.0,1020
2020-09-03,East,Children's Clothing,11.0,126
2020-09-02,East,Women's Clothing,33.0,336
2020-08-31,East,Women's Clothing,5.0,300
2020-08-29,East,Women's Clothing,12.0,390
2020-08-28,East,Men's Clothing,8.0,208
2020-08-27,East,Women's Clothing,9.0,136
2020-08-25,East,Children's Clothing,18.0,544
2020-08-23,East,Men's Clothing,20.0,540
2020-08-22,East,Children's Clothing,32.0,437
2020-08-22,East,Children's Clothing,27.0,672
2020-08-22,East,Children's Clothing,27.0,406
2020-08-20,East,Women's Clothing,14.0,384
2020-08-19,East,Women's Clothing,9.0,255
2020-08-19,East,Women's Clothing,30.0,648
2020-08-19,East,Men's Clothing,6.0,928
2020-08-19,East,Women's Clothing,24.0,384
2020-08-16,East,Children's Clothing,13.0,532
2020-08-16,East,Children's Clothing,9.0,338
2020-08-15,East,Children's Clothing,27.0,595
2020-08-15,East,Children's Clothing,34.0,432
2020-08-14,East,Children's Clothing,16.0,216
2020-08-14,East,Women's Clothing,22.0,390
2020-08-13,East,Men's Clothing,32.0,132
2020-08-12,East,Men's Clothing,31.0,405
2020-08-11,East,Children's Clothing,12.0,348
2020-08-10,East,Women's Clothing,11.0,143
2020-08-09,East,Women's Clothing,12.0,144
2020-08-07,East,Women's Clothing,3.0,450
2020-08-07,East,Children's Clothing,17.0,414
2020-08-06,East,Women's Clothing,32.0,66
2020-08-05,East,Children's Clothing,28.0,336
2020-08-03,East,Children's Clothing,33.0,462
2020-08-03,East,Children's Clothing,7.0,324
2020-08-03,East,Women's Clothing,11.0,460
2020-07-31,East,Men's Clothing,22.0,252
2020-07-30,East,Women's Clothing,21.0,399
2020-07-30,East,Women's Clothing,14.0,180
2020-07-29,East,Women's Clothing,34.0,416
2020-07-28,East,Women's Clothing,8.0,396
2020-07-28,East,Women's Clothing,20.0,255
2020-07-28,East,Women's Clothing,21.0,78
2020-07-25,East,Women's Clothing,25.0,133
2020-07-25,East,Women's Clothing,33.0,112
2020-07-23,East,Women's Clothing,28.0,780
2020-07-23,East,Women's Clothing,17.0,200
2020-07-22,East,Men's Clothing,26.0,500
2020-07-22,East,Women's Clothing,18.0,200
2020-07-21,East,Women's Clothing,28.0,418
2020-07-21,East,Women's Clothing,5.0,240
2020-07-20,East,Men's Clothing,6.0,187
2020-07-19,East,Women's Clothing,5.0,315
2020-07-19,East,Children's Clothing,26.0,108
2020-07-19,East,Men's Clothing,24.0,552
2020-07-18,East,Children's Clothing,9.0,462
2020-07-13,East,Men's Clothing,26.0,598
2020-07-11,East,Children's Clothing,18.0,306
2020-07-10,East,Women's Clothing,15.0,391
2020-07-10,East,Children's Clothing,10.0,310
2020-07-08,East,Children's Clothing,29.0,575
2020-07-08,East,Women's Clothing,18.0,306
2020-07-05,East,Children's Clothing,5.0,418
2020-07-03,East,Children's Clothing,22.0,390
2020-07-03,East,Children's Clothing,6.0,735
2020-07-03,East,Women's Clothing,13.0,341
2020-07-02,East,Women's Clothing,29.0,714
2020-07-01,East,Children's Clothing,17.0,340
2020-06-29,East,Women's Clothing,24.0,504
2020-06-29,East,Men's Clothing,13.0,729
2020-06-29,East,Women's Clothing,11.0,748
2020-06-28,East,Children's Clothing,26.0,390
2020-06-27,East,Women's Clothing,26.0,312
2020-06-26,East,Men's Clothing,6.0,702
2020-06-25,East,Women's Clothing,15.0,495
2020-06-25,East,Men's Clothing,27.0,868
2020-06-25,East,Men's Clothing,22.0,192
2020-06-25,East,Women's Clothing,4.0,600
2020-06-25,East,Men's Clothing,7.0,165
2020-06-24,East,Children's Clothing,30.0,644
2020-06-24,East,Women's Clothing,4.0,341
2020-06-23,East,Men's Clothing,21.0,145
2020-06-22,East,Men's Clothing,14.0,400
2020-06-21,East,Children's Clothing,32.0,108
2020-06-20,East,Women's Clothing,23.0,1054
2020-06-20,East,Women's Clothing,10.0,527
2020-06-20,East,Men's Clothing,12.0,924
2020-06-20,East,Men's Clothing,11.0,729
2020-06-20,East,Women's Clothing,10.0,320
2020-06-18,East,Children's Clothing,28.0,162
2020-06-17,East,Women's Clothing,13.0,420
2020-06-16,East,Men's Clothing,15.0,930
2020-06-15,East,Women's Clothing,28.0,84
2020-06-14,East,Women's Clothing,33.0,609
2020-06-14,East,Men's Clothing,32.0,416
2020-06-14,East,Children's Clothing,25.0,90
2020-06-13,East,Children's Clothing,30.0,336
2020-06-12,East,Men's Clothing,31.0,725
2020-06-12,East,Children's Clothing,15.0,272
2020-06-12,East,Women's Clothing,35.0,1050
2020-06-09,East,Men's Clothing,30.0,640
2020-06-09,East,Men's Clothing,30.0,330
2020-06-09,East,Women's Clothing,24.0,112
2020-06-08,East,Women's Clothing,27.0,754
2020-06-07,East,Men's Clothing,33.0,840
2020-06-06,East,Children's Clothing,16.0,570
2020-06-06,East,Women's Clothing,28.0,560
2020-06-05,East,Children's Clothing,11.0,220
2020-06-03,East,Women's Clothing,18.0,560
2020-06-03,East,Men's Clothing,11.0,476
2020-06-02,East,Men's Clothing,14.0,224
2020-05-31,East,Women's Clothing,21.0,315
2020-05-31,East,Men's Clothing,27.0,506
2020-05-31,East,Children's Clothing,35.0,120
2020-05-31,East,Women's Clothing,3.0,124
2020-05-31,East,Women's Clothing,30.0,700
2020-05-30,East,Men's Clothing,21.0,255
2020-05-30,East,Women's Clothing,5.0,858
2020-05-29,East,Women's Clothing,10.0,270
2020-05-27,East,Men's Clothing,18.0,403
2020-05-27,East,Women's Clothing,16.0,594
2020-05-27,East,Women's Clothing,26.0,63
2020-05-26,East,Men's Clothing,33.0,486
2020-05-25,East,Children's Clothing,12.0,198
2020-05-23,East,Men's Clothing,33.0,384
2020-05-23,East,Men's Clothing,34.0,204
2020-05-19,East,Men's Clothing,6.0,700
2020-05-17,East,Men's Clothing,25.0,312
2020-05-17,East,Men's Clothing,25.0,42
2020-05-16,East,Children's Clothing,12.0,120
2020-05-16,East,Women's Clothing,24.0,238
2020-05-15,East,Children's Clothing,9.0,120
2020-05-13,East,Children's Clothing,21.0,140
2020-05-12,East,Women's Clothing,29.0,812
2020-05-11,East,Men's Clothing,35.0,700
2020-05-10,East,Women's Clothing,7.0,260
2020-05-08,East,Children's Clothing,29.0,364
2020-05-07,East,Women's Clothing,5.0,100
2020-05-06,East,Women's Clothing,9.0,837
2020-05-06,East,Men's Clothing,13.0,252
2020-05-04,East,Men's Clothing,6.0,108
2020-05-04,East,Women's Clothing,35.0,65
2020-05-02,East,Children's Clothing,7.0,270
2020-05-02,East,Women's Clothing,4.0,105
2020-05-01,East,Men's Clothing,10.0,140
2020-04-30,East,Women's Clothing,7.0,459
2020-04-30,East,Women's Clothing,9.0,68
2020-04-29,East,Women's Clothing,14.0,462
2020-04-28,East,Men's Clothing,29.0,384
2020-04-26,East,Men's Clothing,21.0,342
2020-04-24,East,Men's Clothing,28.0,36
2020-04-23,East,Women's Clothing,14.0,360
2020-04-23,East,Children's Clothing,31.0,364
2020-04-23,East,Women's Clothing,26.0,110
2020-04-22,East,Women's Clothing,22.0,806
2020-04-21,East,Women's Clothing,16.0,806
2020-04-20,East,Men's Clothing,33.0,121
2020-04-20,East,Women's Clothing,15.0,448
2020-04-19,East,Women's Clothing,24.0,672
2020-04-18,East,Women's Clothing,6.0,759
2020-04-15,East,Women's Clothing,17.0,84
2020-04-15,East,Children's Clothing,31.0,520
2020-04-15,East,Men's Clothing,34.0,364
2020-04-14,East,Children's Clothing,12.0,264
2020-04-13,East,Women's Clothing,18.0,391
2020-04-13,East,Women's Clothing,29.0,253
2020-04-11,East,Women's Clothing,12.0,930
2020-04-10,East,Men's Clothing,14.0,420
2020-04-09,East,Men's Clothing,24.0,448
2020-04-08,East,Men's Clothing,3.0,806
2020-04-08,East,Men's Clothing,35.0,243
2020-04-07,East,Women's Clothing,24.0,448
2020-04-04,East,Children's Clothing,25.0,224
2020-04-03,East,Women's Clothing,5.0,352
2020-04-02,East,Men's Clothing,26.0,726
2020-04-02,East,Women's Clothing,33.0,240
2020-04-01,East,Women's Clothing,10.0,345
2020-03-29,East,Women's Clothing,24.0,336
2020-03-28,East,Men's Clothing,34.0,304
2020-03-28,East,Children's Clothing,17.0,558
2020-03-28,East,Men's Clothing,5.0,840
2020-03-26,East,Children's Clothing,33.0,336
2020-03-25,East,Women's Clothing,13.0,713
2020-03-25,East,Children's Clothing,24.0,140
2020-03-25,East,Women's Clothing,29.0,609
2020-03-21,East,Women's Clothing,35.0,625
2020-03-21,East,Children's Clothing,33.0,310
2020-03-21,East,Women's Clothing,16.0,161
2020-03-21,East,Men's Clothing,35.0,352
2020-03-20,East,Women's Clothing,13.0,198
2020-03-20,East,Women's Clothing,35.0,288
2020-03-20,East,Children's Clothing,12.0,91
2020-03-20,East,Men's Clothing,23.0,352
2020-03-20,East,Children's Clothing,11.0,299
2020-03-20,East,Men's Clothing,14.0,238
2020-03-17,East,Women's Clothing,25.0,247
2020-03-16,East,Children's Clothing,25.0,525
2020-03-15,East,Women's Clothing,27.0,459
2020-03-12,East,Women's Clothing,20.0,810
2020-03-11,East,Women's Clothing,12.0,713
2020-03-10,East,Children's Clothing,15.0,342
2020-03-10,East,Children's Clothing,34.0,300
2020-03-09,East,Men's Clothing,14.0,726
2020-03-08,East,Men's Clothing,33.0,561
2020-03-07,East,Women's Clothing,32.0,360
2020-03-05,East,Men's Clothing,34.0,180
2020-03-04,East,Women's Clothing,18.0,495
2020-03-04,East,Women's Clothing,4.0,116
2020-03-04,East,Women's Clothing,28.0,682
2020-03-03,East,Women's Clothing,6.0,432
2020-03-02,East,Children's Clothing,31.0,36
2020-03-02,East,Men's Clothing,19.0,63
2020-03-02,East,Men's Clothing,12.0,357
2020-03-01,East,Men's Clothing,5.0,544
2020-03-01,East,Men's Clothing,18.0,522
2020-02-29,East,Men's Clothing,15.0,150
2020-02-29,East,Children's Clothing,33.0,156
2020-02-28,East,Children's Clothing,26.0,832
2020-02-28,East,Men's Clothing,34.0,39
2020-02-27,East,Men's Clothing,8.0,220
2020-02-26,East,Women's Clothing,14.0,493
2020-02-26,East,Women's Clothing,14.0,161
2020-02-26,East,Men's Clothing,15.0,680
2020-02-25,East,Men's Clothing,3.0,330
2020-02-24,East,Children's Clothing,11.0,154
2020-02-24,East,Women's Clothing,32.0,693
2020-02-23,East,Men's Clothing,27.0,400
2020-02-23,East,Men's Clothing,8.0,91
2020-02-23,East,Women's Clothing,16.0,567
2020-02-22,East,Children's Clothing,30.0,378
2020-02-21,East,Women's Clothing,29.0,288
2020-02-21,East,Children's Clothing,14.0,400
2020-02-20,East,Women's Clothing,15.0,675
2020-02-20,East,Women's Clothing,33.0,462
2020-02-18,East,Children's Clothing,34.0,713
2020-02-17,East,Children's Clothing,11.0,918
2020-02-15,East,Men's Clothing,20.0,448
2020-02-13,East,Children's Clothing,27.0,110
2020-02-12,East,Women's Clothing,3.0,330
2020-02-11,East,Children's Clothing,35.0,735
2020-02-08,East,Women's Clothing,33.0,513
2020-02-06,East,Men's Clothing,33.0,725
2020-02-04,East,Children's Clothing,7.0,385
2020-02-04,East,Men's Clothing,25.0,700
2020-02-03,East,Men's Clothing,15.0,720
2020-02-03,East,Women's Clothing,18.0,575
2020-02-01,East,Men's Clothing,21.0,420
2020-02-01,East,Women's Clothing,24.0,529
2020-02-01,East,Men's Clothing,14.0,550
2020-01-30,East,Women's Clothing,25.0,324
2020-01-30,East,Children's Clothing,18.0,435
2020-01-29,East,Men's Clothing,5.0,60
2020-01-29,East,Men's Clothing,10.0,440
2020-01-26,East,Children's Clothing,22.0,558
2020-01-25,East,Children's Clothing,30.0,884
2020-01-24,East,Women's Clothing,31.0,544
2020-01-23,East,Men's Clothing,7.0,360
2020-01-22,East,Women's Clothing,23.0,308
2020-01-21,East,Children's Clothing,3.0,870
2020-01-20,East,Women's Clothing,28.0,80
2020-01-19,East,Men's Clothing,3.0,63
2020-01-17,East,Women's Clothing,15.0,360
2020-01-17,East,Children's Clothing,18.0,220
2020-01-17,East,Men's Clothing,14.0,36
2020-01-16,East,Children's Clothing,27.0,476
2020-01-16,East,Children's Clothing,32.0,744
2020-01-16,East,Children's Clothing,15.0,165
2020-01-15,East,Women's Clothing,21.0,768
2020-01-15,East,Women's Clothing,32.0,420
2020-01-15,East,Men's Clothing,31.0,266
2020-01-14,East,Women's Clothing,4.0,375
2020-01-13,East,Women's Clothing,12.0,272
2020-01-10,East,Women's Clothing,19.0,52
2020-01-09,East,Men's Clothing,25.0,352
2020-01-07,East,Men's Clothing,30.0,360
2020-01-07,East,Men's Clothing,33.0,280
2020-01-04,East,Men's Clothing,23.0,330
2020-01-02,East,Women's Clothing,9.0,374
2020-01-02,East,Children's Clothing,18.0,204
2020-01-01,East,Men's Clothing,18.0,234
2020-01-01,East,Women's Clothing,12.0,322
2020-12-31,West,Women's Clothing,27.0,52
2020-12-31,West,Women's Clothing,20.0,520
2020-12-30,West,Women's Clothing,24.0,704
2020-12-29,West,Women's Clothing,25.0,580
2020-12-27,West,Women's Clothing,7.0,400
2020-12-19,West,Women's Clothing,9.0,800
2020-12-17,West,Children's Clothing,25.0,575
2020-12-16,West,Children's Clothing,14.0,832
2020-12-16,West,Men's Clothing,26.0,418
2020-12-11,West,Men's Clothing,13.0,744
2020-12-04,West,Women's Clothing,28.0,325
2020-12-01,West,Children's Clothing,24.0,187
2020-12-01,West,Children's Clothing,31.0,992
2020-11-30,West,Women's Clothing,6.0,360
2020-11-30,West,Men's Clothing,10.0,561
2020-11-28,West,Men's Clothing,8.0,168
2020-11-28,West,Women's Clothing,12.0,770
2020-11-27,West,Children's Clothing,28.0,700
2020-11-26,West,Men's Clothing,27.0,864
2020-11-25,West,Women's Clothing,31.0,612
2020-11-19,West,Men's Clothing,18.0,299
2020-11-17,West,Children's Clothing,23.0,990
2020-11-17,West,Men's Clothing,27.0,486
2020-11-13,West,Men's Clothing,26.0,297
2020-11-05,West,Women's Clothing,22.0,165
2020-11-03,West,Children's Clothing,24.0,115
2020-11-02,West,Children's Clothing,19.0,660
2020-11-01,West,Women's Clothing,29.0,380
2020-10-31,West,Women's Clothing,33.0,196
2020-10-27,West,Women's Clothing,16.0,319
2020-10-25,West,Men's Clothing,28.0,416
2020-10-23,West,Children's Clothing,16.0,120
2020-10-22,West,Men's Clothing,5.0,143
2020-10-19,West,Women's Clothing,21.0,160
2020-10-17,West,Men's Clothing,9.0,900
2020-10-17,West,Women's Clothing,14.0,806
2020-10-10,West,Women's Clothing,8.0,232
2020-10-09,West,Men's Clothing,19.0,513
2020-10-07,West,Women's Clothing,13.0,126
2020-10-06,West,Men's Clothing,3.0,462
2020-10-03,West,Men's Clothing,10.0,280
2020-10-01,West,Children's Clothing,5.0,493
2020-10-01,West,Children's Clothing,26.0,325
2020-09-28,West,Men's Clothing,34.0,182
2020-09-25,West,Women's Clothing,26.0,1023
2020-09-22,West,Women's Clothing,28.0,224
2020-09-21,West,Men's Clothing,35.0,437
2020-09-20,West,Children's Clothing,23.0,272
2020-09-18,West,Men's Clothing,22.0,440
2020-09-17,West,Men's Clothing,10.0,621
2020-09-12,West,Children's Clothing,16.0,288
2020-09-10,West,Women's Clothing,4.0,525
2020-09-08,West,Women's Clothing,24.0,850
2020-09-07,West,Women's Clothing,32.0,825
2020-08-30,West,Children's Clothing,21.0,60
2020-08-29,West,Women's Clothing,19.0,126
2020-08-20,West,Women's Clothing,31.0,899
2020-08-05,West,Children's Clothing,32.0,640
2020-08-03,West,Women's Clothing,29.0,260
2020-07-27,West,Men's Clothing,16.0,408
2020-07-25,West,Women's Clothing,10.0,144
2020-07-20,West,Men's Clothing,27.0,324
2020-07-20,West,Women's Clothing,25.0,442
2020-07-16,West,Children's Clothing,8.0,288
2020-07-15,West,Children's Clothing,11.0,220
2020-07-13,West,Children's Clothing,30.0,450
2020-07-11,West,Women's Clothing,26.0,728
2020-07-11,West,Women's Clothing,4.0,459
2020-07-09,West,Men's Clothing,13.0,432
2020-06-24,West,Women's Clothing,16.0,98
2020-06-23,West,Women's Clothing,18.0,288
2020-06-23,West,Women's Clothing,20.0,360
2020-06-22,West,Men's Clothing,24.0,340
2020-06-21,West,Women's Clothing,18.0,550
2020-06-18,West,Men's Clothing,5.0,70
2020-06-14,West,Children's Clothing,7.0,264
2020-06-12,West,Children's Clothing,3.0,567
2020-06-12,West,Women's Clothing,19.0,442
2020-06-12,West,Women's Clothing,29.0,450
2020-06-03,West,Women's Clothing,14.0,66
2020-05-28,West,Women's Clothing,12.0,128
2020-05-26,West,Men's Clothing,23.0,432
2020-05-22,West,Women's Clothing,20.0,437
2020-05-20,West,Women's Clothing,13.0,416
2020-05-18,West,Children's Clothing,21.0,588
2020-05-17,West,Women's Clothing,29.0,154
2020-05-17,West,Men's Clothing,35.0,520
2020-05-14,West,Men's Clothing,33.0,308
2020-05-14,West,Men's Clothing,33.0,840
2020-05-08,West,Children's Clothing,28.0,784
2020-05-06,West,Children's Clothing,27.0,330
2020-05-01,West,Children's Clothing,32.0,348
2020-05-01,West,Men's Clothing,29.0,252
2020-04-27,West,Children's Clothing,25.0,600
2020-04-07,West,Children's Clothing,22.0,990
2020-04-01,West,Children's Clothing,13.0,240
2020-03-30,West,Children's Clothing,13.0,216
2020-03-29,West,Women's Clothing,18.0,165
2020-03-29,West,Children's Clothing,12.0,756
2020-03-29,West,Children's Clothing,18.0,261
2020-03-28,West,Children's Clothing,10.0,286
2020-03-27,West,Children's Clothing,7.0,638
2020-03-23,West,Women's Clothing,20.0,693
2020-03-19,West,Women's Clothing,3.0,33
2020-03-09,West,Women's Clothing,13.0,725
2020-03-05,West,Children's Clothing,6.0,176
2020-03-02,West,Men's Clothing,32.0,56
2020-03-01,West,Men's Clothing,8.0,345
2020-02-19,West,Men's Clothing,23.0,780
2020-02-18,West,Men's Clothing,3.0,918
2020-02-17,West,Men's Clothing,27.0,891
2020-02-14,West,Men's Clothing,24.0,312
2020-02-14,West,Children's Clothing,30.0,910
2020-02-13,West,Men's Clothing,24.0,552
2020-02-11,West,Children's Clothing,16.0,297
2020-02-11,West,Children's Clothing,22.0,468
2020-02-08,West,Men's Clothing,32.0,928
2020-02-06,West,Women's Clothing,8.0,196
2020-02-05,West,Children's Clothing,27.0,297
2020-02-04,West,Men's Clothing,27.0,168
2020-02-04,West,Men's Clothing,6.0,930
2020-02-03,West,Men's Clothing,26.0,416
2020-02-02,West,Women's Clothing,32.0,558
2020-02-02,West,Women's Clothing,7.0,280
2020-01-31,West,Children's Clothing,9.0,768
2020-01-31,West,Men's Clothing,16.0,432
2020-01-27,West,Children's Clothing,34.0,510
2020-01-21,West,Men's Clothing,13.0,192
2020-01-16,West,Women's Clothing,12.0,304
2020-01-14,West,Children's Clothing,6.0,900
2020-01-13,West,Children's Clothing,8.0,406
2020-01-11,West,Women's Clothing,19.0,532
2020-01-11,West,Children's Clothing,17.0,375
2020-01-08,West,Women's Clothing,30.0,440
2020-01-07,West,Women's Clothing,3.0,350
2020-01-05,West,Women's Clothing,30.0,540
2020-12-30,North,Children's Clothing,26.0,390
2020-12-29,North,Children's Clothing,24.0,330
2020-12-29,North,Women's Clothing,34.0,78
2020-12-29,North,Children's Clothing,4.0,493
2020-12-24,North,Children's Clothing,7.0,403
2020-12-23,North,Women's Clothing,20.0,528
2020-12-21,North,Children's Clothing,13.0,169
2020-12-21,North,Women's Clothing,11.0,1056
2020-12-20,North,Children's Clothing,14.0,210
2020-12-20,North,Women's Clothing,29.0,748
2020-12-17,North,Children's Clothing,7.0,217
2020-12-17,North,Children's Clothing,30.0,364
2020-12-17,North,Women's Clothing,26.0,336
2020-12-14,North,Women's Clothing,7.0,418
2020-12-14,North,Children's Clothing,31.0,198
2020-12-13,North,Women's Clothing,31.0,308
2020-12-12,North,Women's Clothing,27.0,322
2020-12-10,North,Children's Clothing,5.0,558
2020-12-07,North,Women's Clothing,24.0,1056
2020-12-03,North,Women's Clothing,31.0,162
2020-11-28,North,Women's Clothing,29.0,580
2020-11-28,North,Children's Clothing,11.0,170
2020-11-26,North,Children's Clothing,6.0,728
2020-11-22,North,Women's Clothing,18.0,144
2020-11-20,North,Children's Clothing,25.0,744
2020-11-20,North,Women's Clothing,31.0,360
2020-11-14,North,Women's Clothing,29.0,350
2020-11-12,North,Women's Clothing,34.0,121
2020-11-07,North,Women's Clothing,4.0,116
2020-11-06,North,Women's Clothing,22.0,325
2020-11-05,North,Children's Clothing,31.0,434
2020-11-03,North,Women's Clothing,29.0,324
2020-10-31,North,Children's Clothing,6.0,504
2020-10-29,North,Women's Clothing,19.0,408
2020-10-27,North,Children's Clothing,16.0,816
2020-10-26,North,Women's Clothing,33.0,132
2020-10-24,North,Children's Clothing,10.0,300
2020-10-20,North,Women's Clothing,6.0,432
2020-10-18,North,Women's Clothing,16.0,840
2020-10-18,North,Women's Clothing,17.0,390
2020-10-17,North,Women's Clothing,17.0,406
2020-10-15,North,Children's Clothing,11.0,1023
2020-10-12,North,Children's Clothing,25.0,72
2020-10-11,North,Women's Clothing,5.0,168
2020-10-10,North,Women's Clothing,4.0,84
2020-10-07,North,Women's Clothing,30.0,462
2020-10-05,North,Women's Clothing,25.0,375
2020-09-29,North,Women's Clothing,26.0,832
2020-09-29,North,Women's Clothing,16.0,1023
2020-09-25,North,Women's Clothing,3.0,87
2020-09-25,North,Children's Clothing,33.0,1023
2020-09-25,North,Women's Clothing,32.0,406
2020-09-24,North,Women's Clothing,18.0,784
2020-09-23,North,Children's Clothing,14.0,448
2020-09-22,North,Women's Clothing,9.0,520
2020-09-22,North,Women's Clothing,29.0,98
2020-09-20,North,Women's Clothing,22.0,782
2020-09-17,North,Children's Clothing,13.0,960
2020-09-16,North,Women's Clothing,26.0,476
